strain	date	country	state
KJ740148	2013-XX-XX	USA	USA/Tennessee
MZ440342	2018-XX-XX	USA	USA/New York
MZ440345	2018-XX-XX	USA	USA/New York
MZ617370	2019-06-14	USA	USA/Georgia
MZ617373	2019-04-28	USA	USA/Georgia
MZ617376	2019-04-28	USA	USA/Georgia
OQ688999.1	2017-05-30	USA	USA/Missouri
OQ688996.1	2017-06-24	USA	USA/Kentucky
OQ688987.1	2012-04-XX	USA	USA/Missouri
OQ688984.1	2015-04-27	USA	USA/Kansas
OK480068.1	2017-06-24	USA	USA/Kentucky
OK480065.1	2017-05-30	USA	USA/Missouri
OK480062.1	2015-06-27	USA	USA/Kentucky
PV446567.1	2021-06-15	USA	USA/Georgia
PV446564.1	2022-05-12	USA	USA/Georgia
PV446561.1	2022-06-10	USA	USA/Georgia
PV446558.1	2023-05-12	USA	USA/Georgia
PV446555.1	2023-06-16	USA	USA/Georgia
PV446552.1	2023-07-19	USA	USA/Georgia
JX005847.1	2009-06-05	USA	USA/Missouri
PP816965.1	2021-XX-XX	USA	USA/New York
PP816964.1	2021-XX-XX	USA	USA/New York
PP816963.1	2021-XX-XX	USA	USA/New York
PP816962.1	2021-XX-XX	USA	USA/New York
PP816961.1	2021-XX-XX	USA	USA/New York
PP816960.1	2019-XX-XX	USA	USA/New York
KT328593.1	2013-05-XX	CHN
JX005846.1	2009-06-19	USA	USA/Missouri
NC_024495_NE	2025-06-01	USA	USA/Nebraska
